Address	Length	Type	String
.rdata:00007FFA4FAE39F0	00000008	C	threads
.rdata:00007FFA4FAE39F8	00000008	C	threads
.rdata:00007FFA4FAE3B50	0000000B	C	oldProtect
.rdata:00007FFA4FAE3BB0	00000008	C	threads
.rdata:00007FFA4FAE3BB8	00000008	C	threads
.rdata:00007FFA4FAE3DD0	00000008	C	instBuf
.rdata:00007FFA4FAE3FC0	0000001C	C	Stack around the variable '
.rdata:00007FFA4FAE3FE0	00000011	C	' was corrupted.
.rdata:00007FFA4FAE3FF8	0000000F	C	The variable '
.rdata:00007FFA4FAE4008	0000002B	C	' is being used without being initialized.
.rdata:00007FFA4FAE4040	000000DD	C	The value of ESP was not properly saved across a function call.  This is usually a result of calling a function declared with one calling convention with a function pointer declared with a different calling convention.\r\n
.rdata:00007FFA4FAE4120	0000011D	C	A cast to a smaller data type has caused a loss of data.  If this was intentional, you should mask the source of the cast with the appropriate bitmask.  For example:  \r\n\tchar c = (i & 0xFF);\r\nChanging the code in this way will not affect the quality of the resulting optimized code.\r\n
.rdata:00007FFA4FAE4240	0000001D	C	Stack memory was corrupted\r\n
.rdata:00007FFA4FAE4260	00000036	C	A local variable was used before it was initialized\r\n
.rdata:00007FFA4FAE4298	0000002C	C	Stack memory around _alloca was corrupted\r\n
.rdata:00007FFA4FAE42C8	0000001E	C	Unknown Runtime Check Error\r\n
.rdata:00007FFA4FAE43A0	00000011	C	Unknown Filename
.rdata:00007FFA4FAE43B8	00000014	C	Unknown Module Name
.rdata:00007FFA4FAE43D0	00000020	C	Run-Time Check Failure #%d - %s
.rdata:00007FFA4FAE43F0	00000026	C	Stack corrupted near unknown variable
.rdata:00007FFA4FAE4418	00000034	C	A variable is being used without being initialized.
.rdata:00007FFA4FAE4480	0000000F	C	bad allocation
.rdata:00007FFA4FAE44D0	00000019	C	Stack pointer corruption
.rdata:00007FFA4FAE44F0	0000002A	C	Cast to smaller type causing loss of data
.rdata:00007FFA4FAE4520	00000018	C	Stack memory corruption
.rdata:00007FFA4FAE4538	0000002A	C	Local variable used before initialization
.rdata:00007FFA4FAE4568	0000001F	C	Stack around _alloca corrupted
.rdata:00007FFA4FAE4628	0000000E	C	RegOpenKeyExW
.rdata:00007FFA4FAE4638	00000011	C	RegQueryValueExW
.rdata:00007FFA4FAE4650	0000000C	C	RegCloseKey
.rdata:00007FFA4FAE46F0	00000011	C	PDBOpenValidate5
.rdata:00007FFA4FAE4708	00000012	C	Unknown exception
.rdata:00007FFA4FAE4720	00000015	C	bad array new length
.rdata:00007FFA4FAE4738	00000009	C	bad cast
.rdata:00007FFA4FAE4748	00000010	C	string too long
.rdata:00007FFA4FAE4760	00000013	C	cr/launcher/main/a
.rdata:00007FFA4FAE4778	0000001A	C	Lcom/craftrise/client/fa;
.rdata:00007FFA4FAE4798	00000018	C	com/craftrise/client/cz
.rdata:00007FFA4FAE47B8	00000011	C	com/craftrise/on
.rdata:00007FFA4FAE47D0	00000013	C	com/craftrise/on$a
.rdata:00007FFA4FAE47E4	00000007	C	ATTACK
.rdata:00007FFA4FAE47F0	00000015	C	Lcom/craftrise/on$a;
.rdata:00007FFA4FAE4808	00000007	C	<init>
.rdata:00007FFA4FAE4820	00000017	C	com/craftrise/client/S
.rdata:00007FFA4FAE4840	00000019	C	Lcom/craftrise/client/S;
.rdata:00007FFA4FAE4868	0000001A	C	Lcom/craftrise/client/cf;
.rdata:00007FFA4FAE4890	00000019	C	Lcom/craftrise/client/cz
.rdata:00007FFA4FAE48B0	0000001C	C	()Lcom/craftrise/client/c9;
.rdata:00007FFA4FAE48D0	00000018	C	com/craftrise/client/c9
.rdata:00007FFA4FAE48E8	00000017	C	(Lcom/craftrise/lv;J)V
.rdata:00007FFA4FAE4900	00000011	C	com/craftrise/m9
.rdata:00007FFA4FAE4918	00000006	C	(ZJ)V
.rdata:00007FFA4FAE4938	00000008	C	(DDDJ)V
.rdata:00007FFA4FAE4940	00000013	C	Lcom/craftrise/dR;
.rdata:00007FFA4FAE4960	00000011	C	Lcr/launcher/eb;
